LabelID,Name,CategoryID,LabelValue,WorkspaceCode,NewValue
16778293,Lbl_SourceSystemVal,72,Source System Value,csi,源系统值
16778294,Lbl_TargetSystemVal,72,Target System Value,csi,目标系统值
16778295,Lbl_PackageDetails,72,Package Details,csi,包详细信息
16778296,Action_ActivationImpact,72,Activation Impact,csi,激活影响
16778297,CSICDOName_GetImpactDetails,30,Get Impact Details,csi,获取影响详细信息
16778298,Lbl_SelectedTarget,72,Selected Target,csi,所选目标
16778299,Lbl_ReviewActivationImpact,72,Review Activation Impact,csi,查看激活影响
16778300,Lbl_InstanceBtwSrcAndTarget,72,Instance Differences Between Source and Target,csi,源和目标之间的实例差异
16778301,Lbl_Description,72,Description,csi,描述
16778302,Lbl_ContentChangeHistoryByInstance,72,Content Change History By Instance,csi,实例的内容更改历史
16778303,NotConfiguredForUse,10,This service is not correctly configured to use this function.,csi,此服务未正确配置，不能使用此功能。
16778305,ActivationImpact_Incompatible,72,Incompatible,csi,不兼容
16778306,Lbl_PkgAssoc,72,Pkg Assoc,csi,包关联
16778307,Lbl_TargetNotFound,72,The specified target cannot be found,csi,找不到指定的目标
16778308,Lbl_TargetSystemRequired,72,Target System is a  required field.,csi,“目标系统”是必填字段。
16778309,Lbl_FlyoutDocumentAttach,72,<b>Document Attach</b><br/>Attach documents to the current Package,csi,<b>文档附加</b><br/>将文档附加到当前包
16778310,Lbl_FlyoutDocumentViewer,72,<b>Document Viewer</b><br/>View documents attached to the current Package,csi,<b>文档查看器</b><br/>查看附加到当前包的文档
16778311,Lbl_FlyoutPkgDocumentOptions,72,Package Document Options,csi,包文档选项
16778312,Lbl_ExportPackage,72,Export Package,csi,导出包
16778313,Lbl_ManualImportDataTransferFlowChart,72,Manual Import Data Transfer Flow Chart,csi,手动导入数据传输流程图
16778314,Lbl_ImportProcess,72,Import Process,csi,导入流程
16778315,Lbl_TargetSystemSelected,72,Target System (selected),csi,目标系统（所选）
16778316,Lbl_ExecutionSummary,72,Execution Summary,csi,执行汇总
16778317,Lbl_ProductEventGeneralInfo,72,Production Event General Information,csi,生产事件常规信息
16778318,Lbl_AssignApproval,72,Assign Approval,csi,指派审批
16778319,Lbl_AttachDocument,72,Attach Document,csi,附加文档
16778320,Lbl_AttachmentEntry,72,Attachment Entry,csi,附件输入
16778321,Lbl_DocumentSet,72,Document Set,csi,文档集
16778322,Lbl_StringList,72,String List,csi,字符串列表
16778323,Lbl_ProductList,72,Product List,csi,产品列表
16778324,Lbl_OperationList,72,Operation List,csi,作业列表
16778325,Lbl_IntegerList,72,Integer List,csi,整数列表
16778326,Lbl_DCTest,72,DCTest,csi,DCTest
16778327,Lbl_Summary,72,Summary,csi,汇总
16778328,Lbl_GenericEventFailures,72,Generic Event Failures,csi,通用事件（失败）
16778329,Lbl_GenericEventGeneral,72,Generic Event General,csi,通用事件（常规）
16778330,Lbl_GenericEventTabs,72,Generic Event Tabs,csi,通用事件（选项卡）
16778331,Lbl_ProductEventAffectedMaterial,72,Production Event Affected Material,csi,生产事件（受影响物料）
16778332,Lbl_ProductEventResolution,72,Production Event Resolution,csi,生产事件（解决）
16778333,Lbl_ProductEventChecklist,72,Production Event Checklist,csi,生产事件（检查表）
16778334,Lbl_ProductEventDisposition,72,Production Event Disposition,csi,生产事件（处置）
16778335,Lbl_ProductEventGeneral,72,Production Event General,csi,生产事件（常规）
16778336,Lbl_ProductEventDefineActions,72,Production Event Investigation Define Actions,csi,生产事件（调查定义操作）
16778337,Lbl_ProductEventDefineCauses,72,Production Event Investigation Define Causes,csi,生产事件（调查定义原因）
16778338,Lbl_ProductEventLog,72,Production Event Log,csi,生产事件（日志）
16778339,Lbl_ProductEventInvestigation,72,Production Event Investigation,csi,生产事件（调查）
16778340,Lbl_ProductEventTabs,72,Production Event Tabs,csi,生产事件（选项卡）
16778341,Lbl_ProductEventCrossRef,72,Production Event Cross References,csi,生产事件（交叉引用）
16778342,Lbl_SignApproval,72,Sign Approval,csi,签署审批
16778343,Lbl_hTotalQty2,72,hTotalQty2,csi,hTotalQty2
16778344,Lbl_hTotalChildCount,72,hTotalChildCount,csi,hTotalChildCount
16778345,Lbl_hTotalQty,72,hTotalQty,csi,hTotalQty
16778346,Lbl_ManualImportText,72,<div> - This mode executes Import as a standalone function.</div><div> - You must first generate an input file manually to export this function.</div>,csi,<div> - 在此模式下，“导入”作为一个独立的功能执行。</div><div> - 您必须先手动生成输入文件以导出此函数。</div>
16778347,Lbl_ManualExportText,72,<div>- This mode executes Export as a standalone function.</div><div>- Data is exported from the current Source System.</div>,csi,<div>- 在此模式下，“导出”作为一个独立的功能执行。</div><div>- 数据从当前源系统中导出。</div>
16778348,Lbl_AutoImportExportText,72,<div>- The exported data is loaded into the selected target system.</div><div>- This mode combines the Export and Import functions into a single data transfer process.</div>,csi,<div>- 导出的数据加载到所选目标系统中。</div><div>- 此模式将“导出”和“导入”功能合并到单个数据传输流程。</div>
16778349,CSICDOName_ProcessTimerType,30,Process Timer Type,csi,流程计时器类型
16778350,CSICDOName_ProcessTimerTypeMaint,30,Process Timer Type Maint,csi,流程计时器类型维护
16778351,CSICDOName_ProcessTimerTypeChanges,30,Process Timer Type Changes,csi,流程计时器类型更改
16778352,ProcessTimerType_Name,2,Process Timer Type Name,csi,流程计时器类型名称
16778353,CSICDOName_ProcessTimer,30,Process Timer,csi,流程计时器
16778354,CSICDOName_ProcessTimerBase,30,Process Timer Base,csi,流程计时器基础
16778355,CSICDOName_ProcessTimerMaint,30,Process Timer Maint,csi,流程计时器维护
16778356,CSICDOName_ProcessTimerChanges,30,Process Timer Changes,csi,流程计时器更改
16778357,ProcessTimer_Name,2,Process Timer Name,csi,流程计时器名称
16778358,ProcessTimer_ProcessTimerType,2,Process Timer Type,csi,流程计时器类型
16778359,ProcessTimer_MinWarningTime,2,Min Warning Time,csi,最小警告时间
16778360,ProcessTimer_MinTime,2,Min Time,csi,最小时间
16778361,ProcessTimer_MaxWarningTime,2,Max Warning Time,csi,最大警告时间
16778362,ProcessTimer_MaxTime,2,Max Time,csi,最大时间
16778363,ProcessTimer_MinWarningTimeColor,2,Min Warning Time Color,csi,最小警告时间颜色
16778364,ProcessTimer_MinTimeColor,2,Min Time Color,csi,最小时间颜色
16778365,ProcessTimer_MaxWarningTimeColor,2,Max Warning Time Color,csi,最大警告时间颜色
16778366,ProcessTimer_MaxTimeColor,2,Max Time Color,csi,最大时间颜色
16778367,CSICDOName_ProcessTimerDtl,30,Process Timer Dtl,csi,流程计时器详细信息
16778368,ProcessTimerDtl_ExportImportKey,2,Process Timer Dtl Name,csi,流程计时器详细信息名称
16778369,CSICDOName_ProcessTimerDtlChanges,30,Process Timer Dtl Changes,csi,流程计时器详细信息更改
16778370,CSICDOName_TimerActionEnum,30,Timer Action Enum,csi,计时器操作枚举
16778371,TimerActionEnum_EndTxnExecute,2,Allow End Txn to execute and also execute all defined Disposition Actions,csi,允许执行结束事务，并且执行所有已定义的处置操作
16778372,TimerActionEnum_EndTxnNotExecute,2,Do NOT allow End Txn to execute and do NOT execute Disposition Actions,csi,不允许执行结束事务，并且不执行处置操作
16778373,Constants_TimerAction,2,Timer Action,csi,计时器操作
16778374,ProcessTimer_ProcessTimerMaxTimeDtl,2,Process Timer Max Time Dtl,csi,流程计时器最大时间详细信息
16778375,ProcessTimer_ProcessTimerMinTimeDtl,2,Process Timer Min Time Dtl,csi,流程计时器最小时间详细信息
16778376,CSICDOName_TimerTypeEnum,30,Timer Type Enum,csi,计时器类型枚举
16778377,TimerTypeEnum_Max,2,Max only,csi,仅最大时间
16778378,TimerTypeEnum_Min,2,Min only,csi,仅最小时间
16778379,TimerTypeEnum_MinAndMax,2,Min and Max,csi,最小时间和最大时间
16778380,Constants_TimerType,2,Timer Type,csi,计时器类型
