2026-05-05T12:28:37  DCType - ID: 7071, Name: UserQueryParameter, ParentID: 1201, ParentName: NamedSubentity
2026-05-05T12:28:37  DCType - ID: 4727003, Name: cioUserQueryParameter, ParentID: 7071, ParentName: UserQueryParameter
2026-05-05T12:28:37  DCType - ID: 8193, Name: ComponentIssueInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:37  DCType - ID: 6450, Name: IssueDetails, ParentID: 2350, ParentName: ServiceDetails
2026-05-05T12:28:37  DCType - ID: 6460, Name: IssueActuals, ParentID: 2350, ParentName: ServiceDetails
2026-05-05T12:28:37  DCType - ID: 6540, Name: ActualsBulk, ParentID: 6460, ParentName: IssueActuals
2026-05-05T12:28:37  DCType - ID: 6972, Name: CompDistributeActualBulk, ParentID: 6540, ParentName: ActualsBulk
2026-05-05T12:28:37  DCType - ID: 6892, Name: ActualsDisplayOnly, ParentID: 6460, ParentName: IssueActuals
2026-05-05T12:28:37  DCType - ID: 6550, Name: ActualsLotStock, ParentID: 6460, ParentName: IssueActuals
2026-05-05T12:28:37  DCType - ID: 6570, Name: ActualsQuantity, ParentID: 6460, ParentName: IssueActuals
2026-05-05T12:28:37  DCType - ID: 6530, Name: ActualsSerial, ParentID: 6460, ParentName: IssueActuals
2026-05-05T12:28:37  DCType - ID: 6973, Name: CompDistributeActualSerial, ParentID: 6530, ParentName: ActualsSerial
2026-05-05T12:28:37  DCType - ID: 6560, Name: ActualsStock, ParentID: 6460, ParentName: IssueActuals
2026-05-05T12:28:37  DCType - ID: 2530, Name: ServiceHistoryDetail, ParentID: 2510, ParentName: HistoryDetails
2026-05-05T12:28:37  DCType - ID: 6876, Name: RemovalHistoryDetail, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 6956, Name: RemovalHistoryDetailBulk, ParentID: 6876, ParentName: RemovalHistoryDetail
2026-05-05T12:28:37  DCType - ID: 6957, Name: RemovalHistoryDetailLotStock, ParentID: 6876, ParentName: RemovalHistoryDetail
2026-05-05T12:28:37  DCType - ID: 6958, Name: RemovalHistoryDetailQuantity, ParentID: 6876, ParentName: RemovalHistoryDetail
2026-05-05T12:28:37  DCType - ID: 6959, Name: RemovalHistoryDetailSerial, ParentID: 6876, ParentName: RemovalHistoryDetail
2026-05-05T12:28:37  DCType - ID: 6960, Name: RemovalHistoryDetailStock, ParentID: 6876, ParentName: RemovalHistoryDetail
2026-05-05T12:28:37  DCType - ID: 6630, Name: IssueActualsHistory, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 6939, Name: IssueActualsHistoryBulk, ParentID: 6630, ParentName: IssueActualsHistory
2026-05-05T12:28:37  DCType - ID: 6940, Name: IssueActualsHistoryLotStock, ParentID: 6630, ParentName: IssueActualsHistory
2026-05-05T12:28:37  DCType - ID: 6941, Name: IssueActualsHistoryQuantity, ParentID: 6630, ParentName: IssueActualsHistory
2026-05-05T12:28:37  DCType - ID: 6942, Name: IssueActualsHistorySerial, ParentID: 6630, ParentName: IssueActualsHistory
2026-05-05T12:28:37  DCType - ID: 6943, Name: IssueActualsHistoryStock, ParentID: 6630, ParentName: IssueActualsHistory
2026-05-05T12:28:37  DCType - ID: 6950, Name: IssueDetailsBulk, ParentID: 6450, ParentName: IssueDetails
2026-05-05T12:28:37  DCType - ID: 6970, Name: CompDistributeDetailsBulk, ParentID: 6950, ParentName: IssueDetailsBulk
2026-05-05T12:28:37  DCType - ID: 6951, Name: IssueDetailsDisplayOnly, ParentID: 6450, ParentName: IssueDetails
2026-05-05T12:28:37  DCType - ID: 6952, Name: IssueDetailsLotStock, ParentID: 6450, ParentName: IssueDetails
2026-05-05T12:28:37  DCType - ID: 6953, Name: IssueDetailsQuantity, ParentID: 6450, ParentName: IssueDetails
2026-05-05T12:28:37  DCType - ID: 6954, Name: IssueDetailsSerial, ParentID: 6450, ParentName: IssueDetails
2026-05-05T12:28:37  DCType - ID: 6971, Name: CompDistributeDetailsSerial, ParentID: 6954, ParentName: IssueDetailsSerial
2026-05-05T12:28:37  DCType - ID: 6955, Name: IssueDetailsStock, ParentID: 6450, ParentName: IssueDetails
2026-05-05T12:28:37  DCType - ID: 8780, Name: ComponentReplaceInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:37  DCType - ID: 6908, Name: ContainerHistoryInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:37  DCType - ID: 7705, Name: BusinessRuleExecutionHistory, ParentID: 2510, ParentName: HistoryDetails
2026-05-05T12:28:37  DCType - ID: 7704, Name: BusinessRuleParameterValues, ParentID: 2510, ParentName: HistoryDetails
2026-05-05T12:28:37  DCType - ID: 2550, Name: ParametricDetail, ParentID: 2510, ParentName: HistoryDetails
2026-05-05T12:28:37  DCType - ID: 7274, Name: DataPointHistory, ParentID: 2550, ParentName: ParametricDetail
2026-05-05T12:28:37  DCType - ID: 7275, Name: DataPointHistoryDetail, ParentID: 2550, ParentName: ParametricDetail
2026-05-05T12:28:37  DCType - ID: 7737, Name: CAPAHistoryDetail, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 8158, Name: QualityCustomHistoryDetail, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 8159, Name: CAPACustomHistoryDetail, ParentID: 8158, ParentName: QualityCustomHistoryDetail
2026-05-05T12:28:37  DCType - ID: 7746, Name: CAPAReportHistoryDetail, ParentID: 7737, ParentName: CAPAHistoryDetail
2026-05-05T12:28:37  DCType - ID: 7747, Name: CAPARequestHistoryDetail, ParentID: 7737, ParentName: CAPAHistoryDetail
2026-05-05T12:28:37  DCType - ID: 6670, Name: ChangeAttributeHistoryDetails, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 6811, Name: ChgBooleanHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6820, Name: ChgBooleanListHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6814, Name: ChgDurationHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6824, Name: ChgDurationListHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6710, Name: ChgFixedHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6816, Name: ChgFixedListHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6812, Name: ChgFloatHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6821, Name: ChgFloatListHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6680, Name: ChgIntegerHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6822, Name: ChgIntegerListHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6800, Name: ChgObjectHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6750, Name: ChgObjectListHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6720, Name: ChgAttributeHistoryObject, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 6730, Name: OldObject, ParentID: 6720, ParentName: ChgAttributeHistoryObject
2026-05-05T12:28:37  DCType - ID: 6740, Name: NewObject, ParentID: 6720, ParentName: ChgAttributeHistoryObject
2026-05-05T12:28:37  DCType - ID: 6819, Name: ChgStringHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6823, Name: ChgStringListHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6813, Name: ChgTimeStampHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 6825, Name: ChgTimeStampListHistoryDetails, ParentID: 6670, ParentName: ChangeAttributeHistoryDetails
2026-05-05T12:28:37  DCType - ID: 8403, Name: ChecklistEntryHistoryDetail, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 7107, Name: ChgContainerAttrHistDetail, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 7111, Name: ContainerMaintHistDetail, ParentID: 7107, ParentName: ChgContainerAttrHistDetail
2026-05-05T12:28:37  DCType - ID: 8828, Name: ContainerRenameHistDetail, ParentID: 7107, ParentName: ChgContainerAttrHistDetail
2026-05-05T12:28:37  DCType - ID: 8949, Name: ContMaintIssueCondHistDetail, ParentID: 7107, ParentName: ChgContainerAttrHistDetail
2026-05-05T12:28:37  DCType - ID: 8459, Name: CollectSamplingHistoryDetails, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 8460, Name: CollectSamplingTestDtlHistory, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 5550, Name: CombineHistoryDetail, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 4751774, Name: CombineLotHistoryDetail, ParentID: 5550, ParentName: CombineHistoryDetail
2026-05-05T12:28:37  DCType - ID: 7355, Name: CompleteMaintHistoryDetails, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 4751795, Name: CompleteMaintHistoryDetailsChe, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 7360, Name: CompleteDateHistoryDetails, ParentID: 7355, ParentName: CompleteMaintHistoryDetails
2026-05-05T12:28:37  DCType - ID: 7361, Name: CompleteRecurDateHistDetails, ParentID: 7355, ParentName: CompleteMaintHistoryDetails
2026-05-05T12:28:37  DCType - ID: 7362, Name: CompleteThruputHistoryDetails, ParentID: 7355, ParentName: CompleteMaintHistoryDetails
2026-05-05T12:28:37  DCType - ID: 4759577, Name: ss_CompleteUsageHistoryDetails, ParentID: 7355, ParentName: CompleteMaintHistoryDetails
2026-05-05T12:28:37  DCType - ID: 8787, Name: ComponentReplaceHistoryDetail, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 7461, Name: ComputationParamHistory, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 7994, Name: ContainerAttrHistoryDetail, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 8550, Name: CPModelingInstanceHistDtl, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 8549, Name: CPTargetSystemHistDtl, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 7502, Name: CustomerHistoryDetail, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 4751771, Name: CustomTxnHistoryDetails, ParentID: 2530, ParentName: ServiceHistoryDetail
2026-05-05T12:28:37  DCType - ID: 4751789, Name: BonusLotHistoryDetails, ParentID: 4751771, ParentName: CustomTxnHistoryDetails
2026-05-05T12:28:37  DCType - ID: 4751794, Name: WaferMapHistoryDetails, ParentID: 4751771, ParentName: CustomTxnHistoryDetails
